"Municipality","Cases","Population","Year"
"Ale",0,25292,1998
"Alingsås",0,34930,1998
"Alvesta",0,19171,1998
"Aneby",0,6806,1998
"Arboga",0,14070,1998
"Arjeplog",0,3517,1998
"Arvidsjaur",0,7401,1998
"Arvika",0,26490,1998
"Askersund",0,11809,1998
"Avesta",0,22897,1998
"Bengtsfors",0,11204,1998
"Berg",0,8274,1998
"Bjurholm",0,2786,1998
"Bjuv",0,13756,1998
"Boden",0,29195,1998
"Bollebygd",0,7912,1998
"Bollnäs",0,27295,1998
"Borgholm",0,11369,1998
"Borlänge",0,47838,1998
"Borås",0,96106,1998
"Botkyrka",0,70949,1998
"Boxholm",0,5447,1998
"Bromölla",0,12140,1998
"Bräcke",0,7864,1998
"Burlöv",0,14549,1998
"Båstad",0,14158,1998
"Dals-Ed",0,5045,1998
"Danderyd",0,29639,1998
"Degerfors",0,10907,1998
"Dorotea",0,3441,1998
"Eda",0,8781,1998
"Ekerö",2,21367,1998
"Eksjö",0,17116,1998
"Emmaboda",0,9971,1998
"Enköping",2,36121,1998
"Eskilstuna",1,88027,1998
"Eslöv",0,28299,1998
"Essunga",0,5857,1998
"Fagersta",0,12773,1998
"Falkenberg",0,39061,1998
"Falköping",0,31524,1998
"Falun",0,54576,1998
"Filipstad",1,12104,1998
"Finspång",0,22043,1998
"Flen",1,16906,1998
"Forshaga",0,11775,1998
"Färgelanda",0,7177,1998
"Gagnef",0,10271,1998
"Gislaved",0,30366,1998
"Gnesta",0,9653,1998
"Gnosjö",0,10355,1998
"Gotland",0,57643,1998
"Grums",0,9825,1998
"Grästorp",0,5985,1998
"Gullspång",0,6119,1998
"Gällivare",0,20987,1998
"Gävle",7,90105,1998
"Göteborg",6,459593,1998
"Götene",0,13255,1998
"Habo",0,9577,1998
"Hagfors",0,14562,1998
"Hallsberg",0,15951,1998
"Hallstahammar",1,15407,1998
"Halmstad",0,84538,1998
"Hammarö",1,14189,1998
"Haninge",3,67764,1998
"Haparanda",0,10580,1998
"Heby",0,13672,1998
"Hedemora",0,16249,1998
"Helsingborg",5,116337,1998
"Herrljunga",0,9536,1998
"Hjo",0,8928,1998
"Hofors",1,10987,1998
"Huddinge",3,81339,1998
"Hudiksvall",0,37753,1998
"Hultsfred",0,15656,1998
"Hylte",0,10559,1998
"Håbo",1,17139,1998
"Hällefors",0,8252,1998
"Härjedalen",0,11723,1998
"Härnösand",1,26365,1998
"Härryda",0,29473,1998
"Hässleholm",0,49046,1998
"Höganäs",0,22612,1998
"Högsby",0,6717,1998
"Hörby",0,13760,1998
"Höör",0,13765,1998
"Jokkmokk",0,6305,1998
"Järfälla",1,59839,1998
"Jönköping",1,115897,1998
"Kalix",1,18408,1998
"Kalmar",1,58808,1998
"Karlsborg",0,7322,1998
"Karlshamn",0,30995,1998
"Karlskoga",0,32006,1998
"Karlskrona",0,60429,1998
"Karlstad",3,79664,1998
"Katrineholm",1,32724,1998
"Kil",0,12025,1998
"Kinda",0,10247,1998
"Kiruna",0,25148,1998
"Klippan",1,15862,1998
"Kramfors",2,22333,1998
"Kristianstad",0,73854,1998
"Kristinehamn",0,25057,1998
"Krokom",0,14279,1998
"Kumla",0,18778,1998
"Kungsbacka",1,63142,1998
"Kungsör",0,8178,1998
"Kungälv",0,36615,1998
"Kävlinge",1,24143,1998
"Köping",0,25219,1998
"Laholm",0,22847,1998
"Landskrona",0,37254,1998
"Laxå",0,6803,1998
"Lekeberg",0,7064,1998
"Leksand",0,15479,1998
"Lerum",0,35064,1998
"Lessebo",0,8541,1998
"Lidingö",1,40373,1998
"Lidköping",0,36833,1998
"Lilla Edet",0,12984,1998
"Lindesberg",0,24004,1998
"Linköping",2,131948,1998
"Ljungby",0,27376,1998
"Ljusdal",0,20167,1998
"Ljusnarsberg",0,5859,1998
"Lomma",0,17637,1998
"Ludvika",0,27129,1998
"Luleå",0,71360,1998
"Lund",2,97975,1998
"Lycksele",0,13386,1998
"Lysekil",0,15165,1998
"Malmö",4,254904,1998
"Malung-Sälen",0,10972,1998
"Malå",0,3821,1998
"Mariestad",0,24020,1998
"Mark",1,33127,1998
"Markaryd",0,10039,1998
"Mellerud",0,10065,1998
"Mjölby",0,25587,1998
"Mora",0,20398,1998
"Motala",1,42444,1998
"Mullsjö",0,7245,1998
"Munkedal",0,10633,1998
"Munkfors",0,4344,1998
"Mölndal",0,55224,1998
"Mönsterås",0,13371,1998
"Mörbylånga",0,13568,1998
"Nacka",5,73029,1998
"Nora",0,10510,1998
"Norberg",0,6182,1998
"Nordanstig",0,10748,1998
"Nordmaling",0,7873,1998
"Norrköping",1,122415,1998
"Norrtälje",0,51552,1998
"Norsjö",0,4850,1998
"Nybro",0,20126,1998
"Nyköping",0,49000,1998
"Nynäshamn",0,23341,1998
"Nässjö",0,29799,1998
"Ockelbo",0,6256,1998
"Olofström",0,14505,1998
"Orsa",0,7150,1998
"Orust",0,15133,1998
"Osby",0,13100,1998
"Oskarshamn",0,26769,1998
"Ovanåker",0,12801,1998
"Oxelösund",0,11188,1998
"Pajala",0,7779,1998
"Partille",1,32709,1998
"Perstorp",0,6921,1998
"Piteå",0,40458,1998
"Ragunda",0,6540,1998
"Robertsfors",0,7439,1998
"Ronneby",0,28909,1998
"Rättvik",0,11044,1998
"Sala",0,21748,1998
"Salem",0,13176,1998
"Sandviken",1,37905,1998
"Sigtuna",0,34295,1998
"Simrishamn",0,19697,1998
"Sjöbo",0,16606,1998
"Skara",0,18492,1998
"Skellefteå",0,73499,1998
"Skinnskatteberg",0,4953,1998
"Skurup",0,13560,1998
"Skövde",1,49437,1998
"Smedjebacken",0,12135,1998
"Sollefteå",0,22854,1998
"Sollentuna",0,57067,1998
"Solna",0,55806,1998
"Sorsele",0,3281,1998
"Sotenäs",0,9625,1998
"Staffanstorp",0,19291,1998
"Stenungsund",0,20001,1998
"Stockholm",11,736113,1998
"Storfors",1,4872,1998
"Storuman",0,7177,1998
"Strängnäs",1,29161,1998
"Strömstad",0,10917,1998
"Strömsund",0,14575,1998
"Sundbyberg",0,32868,1998
"Sundsvall",2,93923,1998
"Sunne",0,13665,1998
"Surahammar",1,10679,1998
"Svalöv",0,12707,1998
"Svedala",0,17971,1998
"Svenljunga",0,10818,1998
"Säffle",0,16992,1998
"Säter",0,11352,1998
"Sävsjö",0,11461,1998
"Söderhamn",0,28209,1998
"Söderköping",0,13879,1998
"Södertälje",1,75836,1998
"Sölvesborg",0,16576,1998
"Tanum",0,12111,1998
"Tibro",0,10781,1998
"Tidaholm",0,12874,1998
"Tierp",0,19883,1998
"Timrå",0,18254,1998
"Tingsryd",0,13692,1998
"Tjörn",0,14709,1998
"Tomelilla",0,12453,1998
"Torsby",0,14142,1998
"Torsås",0,7611,1998
"Tranemo",0,12124,1998
"Tranås",0,17866,1998
"Trelleborg",0,38146,1998
"Trollhättan",0,52795,1998
"Trosa",0,10068,1998
"Tyresö",2,38046,1998
"Täby",2,60274,1998
"Töreboda",0,9828,1998
"Uddevalla",1,48969,1998
"Ulricehamn",0,22344,1998
"Umeå",5,103517,1998
"Upplands-Bro",0,20495,1998
"Upplands Väsby",0,36789,1998
"Uppsala",3,187302,1998
"Uppvidinge",0,9992,1998
"Vadstena",0,7703,1998
"Vaggeryd",0,12524,1998
"Valdemarsvik",1,8538,1998
"Vallentuna",0,24246,1998
"Vansbro",1,7476,1998
"Vara",1,16339,1998
"Varberg",3,52392,1998
"Vaxholm",0,8721,1998
"Vellinge",0,30023,1998
"Vetlanda",1,27064,1998
"Vilhelmina",0,8125,1998
"Vimmerby",0,15779,1998
"Vindeln",1,6245,1998
"Vingåker",0,9542,1998
"Vårgårda",0,10705,1998
"Vänersborg",1,36486,1998
"Vännäs",0,8574,1998
"Värmdö",0,29396,1998
"Värnamo",0,31983,1998
"Västervik",1,38359,1998
"Västerås",3,124780,1998
"Växjö",4,73698,1998
"Ydre",0,4178,1998
"Ystad",0,26058,1998
"Åmål",0,13041,1998
"Ånge",0,11497,1998
"Åre",0,9838,1998
"Årjäng",0,9826,1998
"Åsele",0,3789,1998
"Åstorp",0,12908,1998
"Åtvidaberg",0,12215,1998
"Älmhult",0,15569,1998
"Älvdalen",0,7932,1998
"Älvkarleby",0,9047,1998
"Älvsbyn",0,9101,1998
"Ängelholm",0,36921,1998
"Öckerö",1,11692,1998
"Ödeshög",0,5767,1998
"Örebro",2,122641,1998
"Örkelljunga",0,9499,1998
"Örnsköldsvik",0,56658,1998
"Östersund",1,58673,1998
"Österåker",0,33396,1998
"Östhammar",0,21921,1998
"Östra Göinge",0,14514,1998
"Överkalix",0,4366,1998
"Övertorneå",0,5868,1998
"Ale",0,25329,1999
"Alingsås",0,34963,1999
"Alvesta",0,19035,1999
"Aneby",0,6799,1999
"Arboga",0,14036,1999
"Arjeplog",0,3455,1999
"Arvidsjaur",0,7233,1999
"Arvika",0,26353,1999
"Askersund",0,11621,1999
"Avesta",0,22714,1999
"Bengtsfors",0,11032,1999
"Berg",0,8272,1999
"Bjurholm",0,2746,1999
"Bjuv",0,13702,1999
"Boden",0,28872,1999
"Bollebygd",0,7894,1999
"Bollnäs",0,27075,1999
