"Municipality" "Cases" "Population" "Year"
"1" "Ale" 0 25292 1998
"2" "Alingsås" 0 34930 1998
"3" "Alvesta" 0 19171 1998
"4" "Aneby" 0 6806 1998
"5" "Arboga" 0 14070 1998
"6" "Arjeplog" 0 3517 1998
"7" "Arvidsjaur" 0 7401 1998
"8" "Arvika" 0 26490 1998
"9" "Askersund" 0 11809 1998
"10" "Avesta" 0 22897 1998
"11" "Bengtsfors" 0 11204 1998
"12" "Berg" 0 8274 1998
"13" "Bjurholm" 0 2786 1998
"14" "Bjuv" 0 13756 1998
"15" "Boden" 0 29195 1998
"16" "Bollebygd" 0 7912 1998
"17" "Bollnäs" 0 27295 1998
"18" "Borgholm" 0 11369 1998
"19" "Borlänge" 0 47838 1998
"20" "Borås" 0 96106 1998
"21" "Botkyrka" 0 70949 1998
"22" "Boxholm" 0 5447 1998
"23" "Bromölla" 0 12140 1998
"24" "Bräcke" 0 7864 1998
"25" "Burlöv" 0 14549 1998
"26" "Båstad" 0 14158 1998
"27" "Dals-Ed" 0 5045 1998
"28" "Danderyd" 0 29639 1998
"29" "Degerfors" 0 10907 1998
"30" "Dorotea" 0 3441 1998
"31" "Eda" 0 8781 1998
"32" "Ekerö" 2 21367 1998
"33" "Eksjö" 0 17116 1998
"34" "Emmaboda" 0 9971 1998
"35" "Enköping" 2 36121 1998
"36" "Eskilstuna" 1 88027 1998
"37" "Eslöv" 0 28299 1998
"38" "Essunga" 0 5857 1998
"39" "Fagersta" 0 12773 1998
"40" "Falkenberg" 0 39061 1998
"41" "Falköping" 0 31524 1998
"42" "Falun" 0 54576 1998
"43" "Filipstad" 1 12104 1998
"44" "Finspång" 0 22043 1998
"45" "Flen" 1 16906 1998
"46" "Forshaga" 0 11775 1998
"47" "Färgelanda" 0 7177 1998
"48" "Gagnef" 0 10271 1998
"49" "Gislaved" 0 30366 1998
"50" "Gnesta" 0 9653 1998
"51" "Gnosjö" 0 10355 1998
"52" "Gotland" 0 57643 1998
"53" "Grums" 0 9825 1998
"54" "Grästorp" 0 5985 1998
"55" "Gullspång" 0 6119 1998
"56" "Gällivare" 0 20987 1998
"57" "Gävle" 7 90105 1998
"58" "Göteborg" 6 459593 1998
"59" "Götene" 0 13255 1998
"60" "Habo" 0 9577 1998
"61" "Hagfors" 0 14562 1998
"62" "Hallsberg" 0 15951 1998
"63" "Hallstahammar" 1 15407 1998
"64" "Halmstad" 0 84538 1998
"65" "Hammarö" 1 14189 1998
"66" "Haninge" 3 67764 1998
"67" "Haparanda" 0 10580 1998
"68" "Heby" 0 13672 1998
"69" "Hedemora" 0 16249 1998
"70" "Helsingborg" 5 116337 1998
"71" "Herrljunga" 0 9536 1998
"72" "Hjo" 0 8928 1998
"73" "Hofors" 1 10987 1998
"74" "Huddinge" 3 81339 1998
"75" "Hudiksvall" 0 37753 1998
"76" "Hultsfred" 0 15656 1998
"77" "Hylte" 0 10559 1998
"78" "Håbo" 1 17139 1998
"79" "Hällefors" 0 8252 1998
"80" "Härjedalen" 0 11723 1998
"81" "Härnösand" 1 26365 1998
"82" "Härryda" 0 29473 1998
"83" "Hässleholm" 0 49046 1998
"84" "Höganäs" 0 22612 1998
"85" "Högsby" 0 6717 1998
"86" "Hörby" 0 13760 1998
"87" "Höör" 0 13765 1998
"88" "Jokkmokk" 0 6305 1998
"89" "Järfälla" 1 59839 1998
"90" "Jönköping" 1 115897 1998
"91" "Kalix" 1 18408 1998
"92" "Kalmar" 1 58808 1998
"93" "Karlsborg" 0 7322 1998
"94" "Karlshamn" 0 30995 1998
"95" "Karlskoga" 0 32006 1998
"96" "Karlskrona" 0 60429 1998
"97" "Karlstad" 3 79664 1998
"98" "Katrineholm" 1 32724 1998
"99" "Kil" 0 12025 1998
"100" "Kinda" 0 10247 1998
"101" "Kiruna" 0 25148 1998
"102" "Klippan" 1 15862 1998
"103" "Kramfors" 2 22333 1998
"104" "Kristianstad" 0 73854 1998
"105" "Kristinehamn" 0 25057 1998
"106" "Krokom" 0 14279 1998
"107" "Kumla" 0 18778 1998
"108" "Kungsbacka" 1 63142 1998
"109" "Kungsör" 0 8178 1998
"110" "Kungälv" 0 36615 1998
"111" "Kävlinge" 1 24143 1998
"112" "Köping" 0 25219 1998
"113" "Laholm" 0 22847 1998
"114" "Landskrona" 0 37254 1998
"115" "Laxå" 0 6803 1998
"116" "Lekeberg" 0 7064 1998
"117" "Leksand" 0 15479 1998
"118" "Lerum" 0 35064 1998
"119" "Lessebo" 0 8541 1998
"120" "Lidingö" 1 40373 1998
"121" "Lidköping" 0 36833 1998
"122" "Lilla Edet" 0 12984 1998
"123" "Lindesberg" 0 24004 1998
"124" "Linköping" 2 131948 1998
"125" "Ljungby" 0 27376 1998
"126" "Ljusdal" 0 20167 1998
"127" "Ljusnarsberg" 0 5859 1998
"128" "Lomma" 0 17637 1998
"129" "Ludvika" 0 27129 1998
"130" "Luleå" 0 71360 1998
"131" "Lund" 2 97975 1998
"132" "Lycksele" 0 13386 1998
"133" "Lysekil" 0 15165 1998
"134" "Malmö" 4 254904 1998
"135" "Malung-Sälen" 0 10972 1998
"136" "Malå" 0 3821 1998
"137" "Mariestad" 0 24020 1998
"138" "Mark" 1 33127 1998
"139" "Markaryd" 0 10039 1998
"140" "Mellerud" 0 10065 1998
"141" "Mjölby" 0 25587 1998
"142" "Mora" 0 20398 1998
"143" "Motala" 1 42444 1998
"144" "Mullsjö" 0 7245 1998
"145" "Munkedal" 0 10633 1998
"146" "Munkfors" 0 4344 1998
"147" "Mölndal" 0 55224 1998
"148" "Mönsterås" 0 13371 1998
"149" "Mörbylånga" 0 13568 1998
"150" "Nacka" 5 73029 1998
"151" "Nora" 0 10510 1998
"152" "Norberg" 0 6182 1998
"153" "Nordanstig" 0 10748 1998
"154" "Nordmaling" 0 7873 1998
"155" "Norrköping" 1 122415 1998
"156" "Norrtälje" 0 51552 1998
"157" "Norsjö" 0 4850 1998
"158" "Nybro" 0 20126 1998
"159" "Nyköping" 0 49000 1998
"160" "Nynäshamn" 0 23341 1998
"161" "Nässjö" 0 29799 1998
"162" "Ockelbo" 0 6256 1998
"163" "Olofström" 0 14505 1998
"164" "Orsa" 0 7150 1998
"165" "Orust" 0 15133 1998
"166" "Osby" 0 13100 1998
"167" "Oskarshamn" 0 26769 1998
"168" "Ovanåker" 0 12801 1998
"169" "Oxelösund" 0 11188 1998
"170" "Pajala" 0 7779 1998
"171" "Partille" 1 32709 1998
"172" "Perstorp" 0 6921 1998
"173" "Piteå" 0 40458 1998
"174" "Ragunda" 0 6540 1998
"175" "Robertsfors" 0 7439 1998
"176" "Ronneby" 0 28909 1998
"177" "Rättvik" 0 11044 1998
"178" "Sala" 0 21748 1998
"179" "Salem" 0 13176 1998
"180" "Sandviken" 1 37905 1998
"181" "Sigtuna" 0 34295 1998
"182" "Simrishamn" 0 19697 1998
"183" "Sjöbo" 0 16606 1998
"184" "Skara" 0 18492 1998
"185" "Skellefteå" 0 73499 1998
"186" "Skinnskatteberg" 0 4953 1998
"187" "Skurup" 0 13560 1998
"188" "Skövde" 1 49437 1998
"189" "Smedjebacken" 0 12135 1998
"190" "Sollefteå" 0 22854 1998
"191" "Sollentuna" 0 57067 1998
"192" "Solna" 0 55806 1998
"193" "Sorsele" 0 3281 1998
"194" "Sotenäs" 0 9625 1998
"195" "Staffanstorp" 0 19291 1998
"196" "Stenungsund" 0 20001 1998
"197" "Stockholm" 11 736113 1998
"198" "Storfors" 1 4872 1998
"199" "Storuman" 0 7177 1998
"200" "Strängnäs" 1 29161 1998
"201" "Strömstad" 0 10917 1998
"202" "Strömsund" 0 14575 1998
"203" "Sundbyberg" 0 32868 1998
"204" "Sundsvall" 2 93923 1998
"205" "Sunne" 0 13665 1998
"206" "Surahammar" 1 10679 1998
"207" "Svalöv" 0 12707 1998
"208" "Svedala" 0 17971 1998
"209" "Svenljunga" 0 10818 1998
"210" "Säffle" 0 16992 1998
"211" "Säter" 0 11352 1998
"212" "Sävsjö" 0 11461 1998
"213" "Söderhamn" 0 28209 1998
"214" "Söderköping" 0 13879 1998
"215" "Södertälje" 1 75836 1998
"216" "Sölvesborg" 0 16576 1998
"217" "Tanum" 0 12111 1998
"218" "Tibro" 0 10781 1998
"219" "Tidaholm" 0 12874 1998
"220" "Tierp" 0 19883 1998
"221" "Timrå" 0 18254 1998
"222" "Tingsryd" 0 13692 1998
"223" "Tjörn" 0 14709 1998
"224" "Tomelilla" 0 12453 1998
"225" "Torsby" 0 14142 1998
"226" "Torsås" 0 7611 1998
"227" "Tranemo" 0 12124 1998
"228" "Tranås" 0 17866 1998
"229" "Trelleborg" 0 38146 1998
"230" "Trollhättan" 0 52795 1998
"231" "Trosa" 0 10068 1998
"232" "Tyresö" 2 38046 1998
"233" "Täby" 2 60274 1998
"234" "Töreboda" 0 9828 1998
"235" "Uddevalla" 1 48969 1998
"236" "Ulricehamn" 0 22344 1998
"237" "Umeå" 5 103517 1998
"238" "Upplands-Bro" 0 20495 1998
"239" "Upplands Väsby" 0 36789 1998
"240" "Uppsala" 3 187302 1998
"241" "Uppvidinge" 0 9992 1998
"242" "Vadstena" 0 7703 1998
"243" "Vaggeryd" 0 12524 1998
"244" "Valdemarsvik" 1 8538 1998
"245" "Vallentuna" 0 24246 1998
"246" "Vansbro" 1 7476 1998
"247" "Vara" 1 16339 1998
"248" "Varberg" 3 52392 1998
"249" "Vaxholm" 0 8721 1998
"250" "Vellinge" 0 30023 1998
"251" "Vetlanda" 1 27064 1998
"252" "Vilhelmina" 0 8125 1998
"253" "Vimmerby" 0 15779 1998
"254" "Vindeln" 1 6245 1998
"255" "Vingåker" 0 9542 1998
"256" "Vårgårda" 0 10705 1998
"257" "Vänersborg" 1 36486 1998
"258" "Vännäs" 0 8574 1998
"259" "Värmdö" 0 29396 1998
"260" "Värnamo" 0 31983 1998
"261" "Västervik" 1 38359 1998
"262" "Västerås" 3 124780 1998
"263" "Växjö" 4 73698 1998
"264" "Ydre" 0 4178 1998
"265" "Ystad" 0 26058 1998
"266" "Åmål" 0 13041 1998
"267" "Ånge" 0 11497 1998
"268" "Åre" 0 9838 1998
"269" "Årjäng" 0 9826 1998
"270" "Åsele" 0 3789 1998
"271" "Åstorp" 0 12908 1998
"272" "Åtvidaberg" 0 12215 1998
"273" "Älmhult" 0 15569 1998
"274" "Älvdalen" 0 7932 1998
"275" "Älvkarleby" 0 9047 1998
"276" "Älvsbyn" 0 9101 1998
"277" "Ängelholm" 0 36921 1998
"278" "Öckerö" 1 11692 1998
"279" "Ödeshög" 0 5767 1998
"280" "Örebro" 2 122641 1998
"281" "Örkelljunga" 0 9499 1998
"282" "Örnsköldsvik" 0 56658 1998
"283" "Östersund" 1 58673 1998
"284" "Österåker" 0 33396 1998
"285" "Östhammar" 0 21921 1998
"286" "Östra Göinge" 0 14514 1998
"287" "Överkalix" 0 4366 1998
"288" "Övertorneå" 0 5868 1998
"289" "Ale" 0 25329 1999
"290" "Alingsås" 0 34963 1999
"291" "Alvesta" 0 19035 1999
"292" "Aneby" 0 6799 1999
"293" "Arboga" 0 14036 1999
"294" "Arjeplog" 0 3455 1999
"295" "Arvidsjaur" 0 7233 1999
"296" "Arvika" 0 26353 1999
"297" "Askersund" 0 11621 1999
"298" "Avesta" 0 22714 1999
"299" "Bengtsfors" 0 11032 1999
"300" "Berg" 0 8272 1999
"301" "Bjurholm" 0 2746 1999
"302" "Bjuv" 0 13702 1999
"303" "Boden" 0 28872 1999
"304" "Bollebygd" 0 7894 1999
"305" "Bollnäs" 0 27075 1999
"306" "Borgholm" 0 11319 1999
"307" "Borlänge" 1 47441 1999
"308" "Borås" 2 96342 1999
"309" "Botkyrka" 2 72153 1999
"310" "Boxholm" 0 5411 1999
"311" "Bromölla" 0 12115 1999
"312" "Bräcke" 0 7744 1999
"313" "Burlöv" 1 14683 1999
"314" "Båstad" 0 14189 1999
"315" "Dals-Ed" 0 4974 1999
"316" "Danderyd" 1 29636 1999
"317" "Degerfors" 0 10746 1999
"318" "Dorotea" 0 3364 1999
"319" "Eda" 0 8689 1999
"320" "Ekerö" 5 21943 1999
"321" "Eksjö" 0 16910 1999
"322" "Emmaboda" 0 9811 1999
"323" "Enköping" 2 36195 1999
"324" "Eskilstuna" 3 88138 1999
"325" "Eslöv" 0 28212 1999
"326" "Essunga" 0 5847 1999
"327" "Fagersta" 0 12583 1999
"328" "Falkenberg" 0 38894 1999
"329" "Falköping" 0 31331 1999
"330" "Falun" 0 54489 1999
"331" "Filipstad" 0 11893 1999
"332" "Finspång" 0 21678 1999
"333" "Flen" 0 16726 1999
"334" "Forshaga" 0 11651 1999
"335" "Färgelanda" 2 7086 1999
"336" "Gagnef" 0 10168 1999
"337" "Gislaved" 0 30408 1999
"338" "Gnesta" 0 9743 1999
"339" "Gnosjö" 0 10266 1999
"340" "Gotland" 2 57428 1999
"341" "Grums" 0 9673 1999
"342" "Grästorp" 0 5970 1999
"343" "Gullspång" 0 5974 1999
"344" "Gällivare" 1 20504 1999
"345" "Gävle" 3 90451 1999
"346" "Göteborg" 12 462470 1999
"347" "Götene" 0 13095 1999
"348" "Habo" 0 9587 1999
"349" "Hagfors" 0 14400 1999
"350" "Hallsberg" 0 15775 1999
"351" "Hallstahammar" 0 15189 1999
"352" "Halmstad" 8 84814 1999
"353" "Hammarö" 0 14141 1999
"354" "Haninge" 1 68610 1999
"355" "Haparanda" 0 10495 1999
"356" "Heby" 0 13616 1999
"357" "Hedemora" 1 16108 1999
"358" "Helsingborg" 0 116870 1999
"359" "Herrljunga" 0 9456 1999
"360" "Hjo" 0 8801 1999
"361" "Hofors" 0 10780 1999
"362" "Huddinge" 2 82870 1999
"363" "Hudiksvall" 0 37556 1999
"364" "Hultsfred" 0 15275 1999
"365" "Hylte" 1 10485 1999
"366" "Håbo" 0 17287 1999
"367" "Hällefors" 0 8095 1999
"368" "Härjedalen" 0 11594 1999
"369" "Härnösand" 0 25950 1999
"370" "Härryda" 0 29842 1999
"371" "Hässleholm" 0 48803 1999
"372" "Höganäs" 0 22658 1999
"373" "Högsby" 0 6544 1999
"374" "Hörby" 0 13773 1999
"375" "Höör" 0 13807 1999
"376" "Jokkmokk" 0 6146 1999
"377" "Järfälla" 3 60188 1999
"378" "Jönköping" 3 116344 1999
"379" "Kalix" 0 18143 1999
"380" "Kalmar" 2 59122 1999
"381" "Karlsborg" 0 7198 1999
"382" "Karlshamn" 2 30756 1999
"383" "Karlskoga" 0 31530 1999
"384" "Karlskrona" 0 60396 1999
"385" "Karlstad" 1 79985 1999
"386" "Katrineholm" 0 32527 1999
"387" "Kil" 0 11937 1999
"388" "Kinda" 0 10105 1999
"389" "Kiruna" 0 24834 1999
"390" "Klippan" 0 15660 1999
"391" "Kramfors" 1 21869 1999
"392" "Kristianstad" 0 73897 1999
"393" "Kristinehamn" 0 24731 1999
"394" "Krokom" 0 14221 1999
"395" "Kumla" 0 18932 1999
"396" "Kungsbacka" 2 64096 1999
"397" "Kungsör" 0 8155 1999
"398" "Kungälv" 0 36767 1999
"399" "Kävlinge" 1 24185 1999
"400" "Köping" 0 24915 1999
"401" "Laholm" 0 22732 1999
"402" "Landskrona" 0 37336 1999
"403" "Laxå" 0 6770 1999
"404" "Lekeberg" 0 7002 1999
"405" "Leksand" 0 15368 1999
"406" "Lerum" 0 35116 1999
"407" "Lessebo" 0 8433 1999
"408" "Lidingö" 0 40630 1999
"409" "Lidköping" 0 36891 1999
"410" "Lilla Edet" 0 12917 1999
"411" "Lindesberg" 0 23673 1999
"412" "Linköping" 2 132500 1999
"413" "Ljungby" 1 27140 1999
"414" "Ljusdal" 0 20147 1999
"415" "Ljusnarsberg" 0 5755 1999
"416" "Lomma" 0 17858 1999
"417" "Ludvika" 0 26810 1999
"418" "Luleå" 0 71251 1999
"419" "Lund" 3 98312 1999
"420" "Lycksele" 0 13224 1999
"421" "Lysekil" 0 14993 1999
"422" "Malmö" 10 257574 1999
"423" "Malung-Sälen" 1 10925 1999
"424" "Malå" 0 3723 1999
"425" "Mariestad" 1 23949 1999
"426" "Mark" 0 33024 1999
"427" "Markaryd" 0 9927 1999
"428" "Mellerud" 0 9999 1999
"429" "Mjölby" 0 25286 1999
"430" "Mora" 0 20246 1999
"431" "Motala" 1 42181 1999
"432" "Mullsjö" 0 7175 1999
"433" "Munkedal" 0 10568 1999
"434" "Munkfors" 0 4204 1999
"435" "Mölndal" 1 55558 1999
"436" "Mönsterås" 0 13275 1999
"437" "Mörbylånga" 0 13488 1999
"438" "Nacka" 3 73976 1999
"439" "Nora" 0 10420 1999
"440" "Norberg" 0 6087 1999
"441" "Nordanstig" 0 10510 1999
"442" "Nordmaling" 0 7767 1999
"443" "Norrköping" 10 122212 1999
"444" "Norrtälje" 0 52103 1999
"445" "Norsjö" 0 4804 1999
"446" "Nybro" 0 19905 1999
"447" "Nykvarn" 0 7876 1999
"448" "Nyköping" 0 49070 1999
"449" "Nynäshamn" 0 23408 1999
"450" "Nässjö" 0 29607 1999
"451" "Ockelbo" 0 6222 1999
"452" "Olofström" 0 14241 1999
"453" "Orsa" 0 7040 1999
"454" "Orust" 0 15056 1999
"455" "Osby" 0 12925 1999
"456" "Oskarshamn" 0 26504 1999
"457" "Ovanåker" 0 12623 1999
"458" "Oxelösund" 0 10973 1999
"459" "Pajala" 0 7647 1999
"460" "Partille" 0 33000 1999
"461" "Perstorp" 0 6808 1999
"462" "Piteå" 1 40404 1999
"463" "Ragunda" 0 6489 1999
"464" "Robertsfors" 0 7355 1999
"465" "Ronneby" 1 28778 1999
"466" "Rättvik" 0 10897 1999
"467" "Sala" 1 21530 1999
"468" "Salem" 0 13474 1999
"469" "Sandviken" 1 37511 1999
"470" "Sigtuna" 0 34766 1999
"471" "Simrishamn" 0 19511 1999
"472" "Sjöbo" 0 16542 1999
"473" "Skara" 0 18341 1999
"474" "Skellefteå" 0 73000 1999
"475" "Skinnskatteberg" 0 4859 1999
"476" "Skurup" 0 13638 1999
"477" "Skövde" 1 49178 1999
"478" "Smedjebacken" 0 11873 1999
"479" "Sollefteå" 0 22400 1999
"480" "Sollentuna" 0 57610 1999
"481" "Solna" 0 55988 1999
"482" "Sorsele" 0 3244 1999
"483" "Sotenäs" 0 9614 1999
"484" "Staffanstorp" 0 19527 1999
"485" "Stenungsund" 0 20277 1999
"486" "Stockholm" 12 743703 1999
"487" "Storfors" 0 4807 1999
"488" "Storuman" 0 7071 1999
"489" "Strängnäs" 1 29271 1999
"490" "Strömstad" 1 11026 1999
"491" "Strömsund" 0 14244 1999
"492" "Sundbyberg" 1 33387 1999
"493" "Sundsvall" 1 93486 1999
"494" "Sunne" 0 13613 1999
"495" "Surahammar" 0 10498 1999
"496" "Svalöv" 0 12617 1999
"497" "Svedala" 0 17935 1999
"498" "Svenljunga" 0 10636 1999
"499" "Säffle" 0 16796 1999
"500" "Säter" 0 11316 1999
"501" "Sävsjö" 0 11192 1999
"502" "Söderhamn" 0 27842 1999
"503" "Söderköping" 0 13968 1999
"504" "Södertälje" 10 76624 1999
"505" "Sölvesborg" 0 16454 1999
"506" "Tanum" 0 12069 1999
"507" "Tibro" 0 10641 1999
"508" "Tidaholm" 0 12833 1999
"509" "Tierp" 0 19803 1999
"510" "Timrå" 0 18059 1999
"511" "Tingsryd" 0 13484 1999
"512" "Tjörn" 0 14734 1999
"513" "Tomelilla" 0 12434 1999
"514" "Torsby" 0 13943 1999
"515" "Torsås" 0 7540 1999
"516" "Tranemo" 0 12026 1999
"517" "Tranås" 0 17798 1999
"518" "Trelleborg" 0 38226 1999
"519" "Trollhättan" 0 52879 1999
"520" "Trosa" 0 10107 1999
"521" "Tyresö" 0 38580 1999
"522" "Täby" 0 60300 1999
"523" "Töreboda" 0 9626 1999
"524" "Uddevalla" 0 48816 1999
"525" "Ulricehamn" 0 22286 1999
"526" "Umeå" 9 103970 1999
"527" "Upplands-Bro" 0 20728 1999
"528" "Upplands Väsby" 1 37116 1999
"529" "Uppsala" 5 188478 1999
"530" "Uppvidinge" 0 9912 1999
"531" "Vadstena" 0 7662 1999
"532" "Vaggeryd" 0 12475 1999
"533" "Valdemarsvik" 0 8383 1999
"534" "Vallentuna" 0 24640 1999
"535" "Vansbro" 1 7376 1999
"536" "Vara" 0 16255 1999
"537" "Varberg" 0 52516 1999
"538" "Vaxholm" 0 8888 1999
"539" "Vellinge" 0 30206 1999
"540" "Vetlanda" 0 26735 1999
"541" "Vilhelmina" 0 8006 1999
"542" "Vimmerby" 0 15788 1999
"543" "Vindeln" 0 6142 1999
"544" "Vingåker" 0 9335 1999
"545" "Vårgårda" 0 10736 1999
"546" "Vänersborg" 1 36605 1999
"547" "Vännäs" 0 8584 1999
"548" "Värmdö" 0 30319 1999
"549" "Värnamo" 0 31970 1999
"550" "Västervik" 4 37930 1999
"551" "Västerås" 1 125433 1999
"552" "Växjö" 2 73770 1999
"553" "Ydre" 0 4152 1999
"554" "Ystad" 0 26185 1999
"555" "Åmål" 0 12908 1999
"556" "Ånge" 0 11368 1999
"557" "Åre" 0 9754 1999
"558" "Årjäng" 0 9784 1999
"559" "Åsele" 0 3710 1999
"560" "Åstorp" 1 12799 1999
"561" "Åtvidaberg" 0 12055 1999
"562" "Älmhult" 0 15448 1999
"563" "Älvdalen" 0 7804 1999
"564" "Älvkarleby" 0 8972 1999
"565" "Älvsbyn" 0 9060 1999
"566" "Ängelholm" 1 37054 1999
"567" "Öckerö" 0 11781 1999
"568" "Ödeshög" 0 5727 1999
"569" "Örebro" 2 123503 1999
"570" "Örkelljunga" 1 9423 1999
"571" "Örnsköldsvik" 0 56167 1999
"572" "Östersund" 1 58387 1999
"573" "Österåker" 0 33861 1999
"574" "Östhammar" 0 21680 1999
"575" "Östra Göinge" 0 14322 1999
"576" "Överkalix" 0 4304 1999
"577" "Övertorneå" 0 5746 1999
"578" "Ale" 1 25421 2000
"579" "Alingsås" 0 35153 2000
"580" "Alvesta" 0 18916 2000
"581" "Aneby" 0 6682 2000
"582" "Arboga" 0 13870 2000
"583" "Arjeplog" 0 3384 2000
"584" "Arvidsjaur" 0 7148 2000
"585" "Arvika" 0 26188 2000
"586" "Askersund" 0 11530 2000
"587" "Avesta" 0 22375 2000
"588" "Bengtsfors" 1 10896 2000
"589" "Berg" 0 8175 2000
"590" "Bjurholm" 0 2695 2000
"591" "Bjuv" 1 13705 2000
"592" "Boden" 0 28679 2000
"593" "Bollebygd" 1 7884 2000
"594" "Bollnäs" 0 26735 2000
"595" "Borgholm" 0 11288 2000
"596" "Borlänge" 1 47206 2000
"597" "Borås" 0 96883 2000
"598" "Botkyrka" 9 73097 2000
"599" "Boxholm" 0 5334 2000
"600" "Bromölla" 0 12085 2000
"601" "Bräcke" 0 7577 2000
