Cases1998	CasesPerThousand1998	Population1998	Cases1999	CasesPerThousand1999	Population1999	Cases2000	CasesPerThousand2000	Population2000	Cases2001	CasesPerThousand2001	Population2001	Cases2002	CasesPerThousand2002	Population2002	Cases2003	CasesPerThousand2003	Population2003	Cases2004	CasesPerThousand2004	Population2004	Cases2005	CasesPerThousand2005	Population2005	Cases2006	CasesPerThousand2006	Population2006	Cases2007	CasesPerThousand2007	Population2007	Cases2008	CasesPerThousand2008	Population2008	Cases2009	CasesPerThousand2009	Population2009	Cases2010	CasesPerThousand2010	Population2010	Cases2011	CasesPerThousand2011	Population2011	Cases2012	CasesPerThousand2012	Population2012	Cases2013	CasesPerThousand2013	Population2013	Cases2014	CasesPerThousand2014	Population2014
Ale	0	0	28423	1	0.0356201467550046	28074	0	0	27842	1	0.0362621024767016	27577	0	0	27442	1	0.036504344016938	27394	1	0.0365992021373934	27323	1	0.0369112653181751	27092	2	0.0746268656716418	26800	1	0.0378716152243893	26405	4	0.152160681679854	26288	1	0.0384718962797676	25993	0	0	25835	1	0.0390731840737702	25593	1	0.0393375555642972	25421	0	0	25329	0	0	25292
Alingsås	0	0	39188	0	0	38619	0	0	38355	0	0	38053	1	0.0264578262249974	37796	0	0	37515	0	0	37247	1	0.0272190315468576	36739	1	0.027411529289219	36481	2	0.0555401277422938	36010	0	0	35761	0	0	35530	0	0	35327	0	0	35257	0	0	35153	0	0	34963	0	0	34930
Alvesta	1	0.0512741629492899	19503	1	0.0518672199170124	19280	0	0	19034	0	0	18917	1	0.0531858312945431	18802	0	0	18757	0	0	18775	0	0	18776	0	0	18741	0	0	18684	1	0.0530082162735224	18865	0	0	18879	0	0	18930	0	0	18957	0	0	18916	0	0	19035	0	0	19171
Aneby	0	0	6426	0	0	6375	0	0	6407	0	0	6415	0	0	6393	0	0	6446	0	0	6523	0	0	6506	0	0	6551	0	0	6576	0	0	6624	0	0	6666	1	0.150806816468104	6631	0	0	6686	0	0	6682	0	0	6799	0	0	6806
Arboga	1	0.0733621891277236	13631	0	0	13493	0	0	13353	0	0	13302	0	0	13285	1	0.0751766651631334	13302	0	0	13301	0	0	13369	0	0	13391	0	0	13380	0	0	13406	2	0.147994672191801	13514	0	0	13574	0	0	13616	0	0	13870	0	0	14036	0	0	14070
Arjeplog	0	0	2907	0	0	2980	0	0	3054	0	0	3114	0	0	3161	0	0	3143	0	0	3146	0	0	3089	0	0	3151	0	0	3159	0	0	3224	0	0	3259	0	0	3291	0	0	3313	0	0	3384	0	0	3455	0	0	3517
Arvidsjaur	0	0	6484	0	0	6471	0	0	6467	0	0	6494	0	0	6529	0	0	6622	0	0	6665	0	0	6751	0	0	6791	0	0	6814	0	0	6894	0	0	6948	0	0	7017	0	0	7129	0	0	7148	0	0	7233	0	0	7401
Arvika	0	0	25771	0	0	25817	0	0	25829	1	0.0385996062840159	25907	1	0.0384113082891603	26034	1	0.0383141762452107	26100	0	0	26176	0	0	26250	0	0	26131	0	0	26265	0	0	26275	0	0	26302	0	0	26262	0	0	26192	0	0	26188	0	0	26353	0	0	26490
Askersund	0	0	11119	0	0	11096	0	0	11011	0	0	11134	0	0	11278	0	0	11307	0	0	11386	0	0	11394	0	0	11470	0	0	11461	0	0	11477	0	0	11539	0	0	11449	0	0	11483	0	0	11530	0	0	11621	0	0	11809
Avesta	0	0	22022	0	0	21582	0	0	21467	0	0	21486	0	0	21583	0	0	21762	0	0	21937	0	0	21886	1	0.045531120520876	21963	0	0	21954	1	0.0452447742285766	22102	0	0	22249	0	0	22296	1	0.0447828034034931	22330	0	0	22375	0	0	22714	0	0	22897
Bengtsfors	0	0	9556	1	0.104712041884817	9550	0	0	9588	0	0	9680	0	0	9791	0	0	9841	0	0	9897	0	0	9957	0	0	10080	0	0	10225	0	0	10335	0	0	10436	0	0	10516	0	0	10685	1	0.091776798825257	10896	0	0	11032	0	0	11204
Berg	0	0	7067	0	0	7160	0	0	7215	0	0	7345	0	0	7352	0	0	7447	0	0	7533	0	0	7586	0	0	7592	0	0	7696	0	0	7779	0	0	7865	0	0	7949	0	0	8053	0	0	8175	0	0	8272	0	0	8274
Bjurholm	0	0	2451	0	0	2436	0	0	2421	0	0	2431	0	0	2460	0	0	2500	0	0	2516	0	0	2549	0	0	2541	0	0	2553	0	0	2588	0	0	2575	0	0	2608	0	0	2639	0	0	2695	0	0	2746	0	0	2786
Bjuv	1	0.0671411306566402	14894	0	0	14801	3	0.201802771424728	14866	0	0	14851	0	0	14841	3	0.202524809289138	14813	0	0	14613	0	0	14470	0	0	14199	0	0	14007	0	0	13892	1	0.0724112961622013	13810	2	0.14626298083955	13674	0	0	13659	1	0.0729660707770887	13705	0	0	13702	0	0	13756
Boden	2	0.0717180048051063	27887	0	0	27838	0	0	27598	2	0.0723510472814094	27643	5	0.182010119762659	27471	0	0	27408	3	0.108952242600327	27535	1	0.0359221208420145	27838	0	0	28002	0	0	28176	0	0	28277	1	0.0354433968951584	28214	0	0	28268	0	0	28380	0	0	28679	0	0	28872	0	0	29195
Bollebygd	1	0.115580212667591	8652	0	0	8562	0	0	8507	0	0	8356	0	0	8375	0	0	8253	0	0	8232	0	0	8193	0	0	8179	0	0	8086	0	0	7973	0	0	7891	0	0	7831	1	0.126742712294043	7890	1	0.126839167935058	7884	0	0	7894	0	0	7912
Bollnäs	0	0	26394	0	0	26141	0	0	26158	0	0	26193	0	0	26248	0	0	26175	0	0	26189	0	0	26217	0	0	26278	0	0	26237	0	0	26249	0	0	26213	0	0	26210	0	0	26455	0	0	26735	0	0	27075	0	0	27295
Borgholm	0	0	10681	0	0	10619	0	0	10768	0	0	10622	0	0	10676	0	0	10806	0	0	10855	0	0	10933	0	0	10983	0	0	11067	0	0	11133	0	0	11147	0	0	11162	0	0	11228	0	0	11288	0	0	11319	0	0	11369
Borlänge	1	0.0197180321403924	50715	4	0.0799632169202167	50023	1	0.0202093690634978	49482	0	0	49323	1	0.0203041562607866	49251	1	0.0205418951952507	48681	2	0.0415066929542389	48185	0	0	47756	1	0.0210974915082597	47399	1	0.0212824823887458	46987	2	0.0425640589086575	46988	1	0.0213133272235129	46919	0	0	47049	0	0	46962	1	0.0211837478286658	47206	1	0.0210788136843658	47441	0	0	47838
Borås	6	0.0560632393339687	107022	6	0.0566064437001745	105995	3	0.0286076649470281	104867	2	0.0192111885962384	104106	4	0.0387244176815691	103294	2	0.0195201936403209	102458	1	0.00985347877067999	101487	3	0.0297073822844977	100985	10	0.0997794873329941	100221	4	0.040271834885477	99325	0	0	98886	0	0	98505	1	0.0101884870096791	98150	0	0	97347	0	0	96883	2	0.0207593780490337	96342	0	0	96106
Botkyrka	1	0.0112484673963173	88901	4	0.0456725279744234	87580	2	0.0231819551660987	86274	1	0.0118095822950742	84677	0	0	82608	0	0	81195	3	0.0374742364624321	80055	0	0	79031	1	0.0128944076953825	77553	2	0.0261123877167328	76592	1	0.0131873928524331	75830	4	0.0530278926715452	75432	3	0.0398851308232291	75216	7	0.0944019635608421	74151	9	0.123124068019207	73097	2	0.0277188751680457	72153	0	0	70949
Boxholm	0	0	5322	0	0	5278	0	0	5206	0	0	5205	0	0	5221	0	0	5248	0	0	5260	0	0	5223	0	0	5226	0	0	5242	0	0	5287	0	0	5308	1	0.189000189000189	5291	0	0	5327	0	0	5334	0	0	5411	0	0	5447
Bromölla	0	0	12400	0	0	12336	0	0	12250	0	0	12366	0	0	12272	0	0	12285	0	0	12200	0	0	12181	0	0	12145	0	0	12098	0	0	12080	0	0	11994	0	0	12022	0	0	11992	0	0	12085	0	0	12115	0	0	12140
Bräcke	0	0	6463	0	0	6559	0	0	6655	0	0	6750	0	0	6885	0	0	6865	0	0	7009	0	0	7109	1	0.138850319355735	7202	0	0	7192	0	0	7282	0	0	7359	0	0	7406	0	0	7400	0	0	7577	0	0	7744	0	0	7864
Burlöv	0	0	17211	1	0.0584316933504733	17114	2	0.117570983481277	17011	1	0.0593718458706881	16843	0	0	16701	1	0.0605730207765461	16509	0	0	16230	0	0	15952	0	0	15662	2	0.130548302872063	15320	0	0	15295	0	0	15257	0	0	15326	0	0	15264	2	0.132996409096954	15038	1	0.0681059728938228	14683	0	0	14549
Båstad	0	0	14419	1	0.0700525394045534	14275	0	0	14263	0	0	14230	0	0	14278	0	0	14269	0	0	14203	0	0	14242	0	0	14170	0	0	14044	0	0	14022	0	0	14088	0	0	14009	0	0	14011	0	0	14090	0	0	14189	0	0	14158
Dals-Ed	0	0	4764	0	0	4740	0	0	4665	0	0	4679	0	0	4692	0	0	4729	0	0	4788	0	0	4835	0	0	4900	0	0	4891	0	0	4941	0	0	5014	0	0	5044	0	0	5040	0	0	5047	0	0	4974	0	0	5045
Danderyd	0	0	32295	0	0	32222	0	0	31960	0	0	31799	0	0	31330	0	0	31150	0	0	30851	0	0	30789	0	0	30492	0	0	30226	0	0	30100	1	0.0334627225271048	29884	2	0.0672155940178121	29755	0	0	29632	1	0.0338180588434224	29570	1	0.0337427453097584	29636	0	0	29639
Degerfors	0	0	9531	1	0.105263157894737	9500	0	0	9477	0	0	9551	1	0.103723680116171	9641	0	0	9709	0	0	9839	0	0	9903	0	0	10014	1	0.0990785693054592	10093	0	0	10106	0	0	10181	1	0.0970308558121483	10306	0	0	10433	0	0	10544	0	0	10746	0	0	10907
