code,name,medianIncome,youthUnemployment2010,youthUnemployment2013,unemployment2010,unemployment2013,unemploymentChange,reportedCrime,populationChange,hasEducation,asylumCosts,urbanDegree,satisfactionInfluence,satisfactionGeneral,satisfactionElderlyCare,foreignBorn,reportedCrimeVandalism,youngUnskilled,latitude,longitude,population,populationShare65plus,municipalityType,municipalityTypeBroad,refugees,rentalApartments,governing,fokusRanking,foretagsklimatRanking,cars,motorcycles,tractors,snowmobiles
0780,Växjö,201793,9.3,8.7,7.9,8,0.0999999999999996,831,0.8,27.5,333,49.1,NA,NA,NA,11.7,9.6,5.9,56.879004,14.805852,11065,19.4,Larger towns,Town,33.8,234.1,Conservative,19,24,3651.69453230908,200.542250338906,260.370537731586,4.60912788070493
1487,Vänersborg,195999,13.7,13.2,9.5,9.4,-0.0999999999999996,641,2.7,35,0,67.4,NA,NA,NA,6.7,5.9,8.5,58.379728,12.324803,8583,20.5,Commuter municipalities,Rural,14.4,164.8,Mixed,80,231,2230.45555167191,138.180123499942,226.960270301759,8.15565653035069
1765,Årjäng,182826,6.4,5.5,7.2,5.3,-1.9,575,-3.5,22.8,1960,72.8,NA,NA,NA,8.8,5.4,10.2,59.389159,12.132717,8168,25.1,Sparsely populated municipalities,Rural,11.2,129.1,Conservative,204,113,765.670910871694,46.767874632713,183.031341821743,11.2634671890304
1293,Hässleholm,237817,10.4,13.1,9.1,9.6,0.5,751,3.9,30.7,749,88.9,45,58,60,15.5,12,10.8,56.158914,13.766766,19968,17,Larger towns,Town,13.2,136.9,Conservative,83,187,1311.59855769231,103.215144230769,181.189903846154,0.951522435897436
2403,Bjurholm,168796,7.1,11.5,6.7,10.2,3.5,205,-3.2,25.1,546,39.3,NA,NA,NA,11.2,4.4,8.7,63.930406,19.219213,2436,30,Commuter municipalities,Rural,52,87.6,Conservative,266,38,565.270935960591,38.1773399014778,176.518883415435,186.781609195402
1445,Essunga,187409,10.8,9.1,7.3,6.3,-1,710,-2.3,22.7,1230,45.5,NA,NA,NA,7.6,12.3,13.6,58.195013,12.77825,5494,23.9,Commuter municipalities,Rural,23.2,107.2,Conservative,265,49,618.856934838005,51.3287222424463,176.01019293775,1.45613396432472
1439,Färgelanda,177315,13.5,9.7,10.2,8.5,-1.7,475,-3.3,22.9,2130,54.5,NA,NA,NA,10,13.1,12.3,58.567559,11.994926,6520,24.2,Commuter municipalities,Rural,32.9,108.4,Mixed,284,240,596.319018404908,40.6441717791411,173.773006134969,1.84049079754601
1438,Dals-Ed,166428,9.7,12.5,9.2,7.8,-1.4,738,-1,22.3,1972,62.5,NA,NA,NA,17.8,7.8,13.1,58.974388,11.865175,4740,24.8,Sparsely populated municipalities,Rural,22.9,151.6,Conservative,216,108,602.320675105485,43.2489451476793,168.354430379747,1.68776371308017
0512,Ydre,188318,5.7,7.8,5.1,4.4,-0.699999999999999,194,-2.9,28.8,1671,43.2,NA,NA,NA,9.7,5.5,6,57.85952,15.297346,3617,27.4,Commuter municipalities,Rural,22.5,110.2,Mixed,236,68,561.515067735693,40.0884711086536,160.353884434614,1.38236107271219
1292,Ängelholm,190823,10.5,9.4,7.5,6.4,-1.1,375,-0.7,26.2,703,76.7,37,49,53,6.7,7.1,8.2,56.245748,12.863881,11460,24.4,Commuter municipalities,Rural,5.6,165.7,Conservative,45,8,1864.04886561955,148.167539267016,156.195462478185,1.30890052356021
0885,Borgholm,174435,6.5,9.7,5.4,6.4,1,932,-2.2,32.2,1271,44.2,NA,NA,NA,7.9,15.7,11.4,56.88023,16.656235,10619,32,Tourism municipalities,Rural,13,90.7,Conservative,171,252,576.513796025991,48.3096336754873,154.534325266033,2.07175816931914
1444,Grästorp,193474,11,9.7,8.5,7.4,-1.1,727,-3.6,26.3,330,51.4,49,56,60,7.8,11.1,9.3,58.33404,12.680218,5641,22.8,Suburbs to larger towns,City,30.7,93.8,Conservative,202,42,584.116291437688,40.9501861372097,154.050700230456,1.59546179755363
1470,Vara,191358,9.7,9.7,7.1,6.5,-0.6,641,-1.6,23.6,603,53.6,NA,NA,NA,9.3,9.3,12,58.261781,12.960194,15609,23,Manufacturing municipalities,Rural,14.6,119.9,Mixed,177,33,597.668012044333,45.6147094624896,153.308988404126,1.665705682619
1766,Sunne,181436,9.7,9.5,8.1,6.4,-1.7,607,-3.4,29.7,744,47.9,NA,NA,NA,7.9,7.5,8.2,59.836557,13.144046,13011,23.4,Municipalities in sparsely populated regions,Rural,2.6,108.4,Conservative,183,25,625.547613557759,39.5050342018292,149.642610099147,19.8293751441088
2409,Robertsfors,190132,10.3,7,7.6,6.4,-1.2,401,-2.3,30.2,1953,45.6,48,58,68,7.9,4.3,10.9,64.191835,20.84891,6738,24,Sparsely populated municipalities,Rural,26.6,103,Mixed,238,212,548.085485307213,36.9545859305432,144.553279905016,138.765212229148
2326,Berg,170559,12.8,10.3,12.5,7.2,-5.3,740,-5,27.1,2170,31,36,45,51,7.4,6.3,10.3,58.483333,15.516667,7160,27.3,Tourism municipalities,Rural,37,93.4,Mixed,276,220,606.983240223464,29.3296089385475,143.575418994413,228.212290502793
1461,Mellerud,166192,10.2,10.2,10.5,8.7,-1.8,607,-5.8,24.6,1376,55.6,NA,NA,NA,13.5,14.5,12.1,58.702568,12.451842,8892,27.5,Municipalities in densely populated regions,Rural,22.1,138.1,Conservative,254,165,558.479532163743,39.3612235717499,143.387314439946,3.5987404408457
